,player,age,nationality,position,selling_club,previous_league,est_market_value,fee,buying_club,window,year,buying_league
6,Jonny Evans,30,Northern Ireland,Centre-Back,West Bromwich Albion,England,£13.50m,£3.60m,Leicester City,s_w=s,2018,GB1
7,Callum Elder,24,Australia,Left-Back,Ipswich Town,England,£225Th.,"End of loanMay 31, 2019",Leicester City,s_w=s,2018,GB1
8,George Thomas,22,Wales,Attacking Midfield,Scunthorpe United,England,£450Th.,"End of loanMay 31, 2019",Leicester City,s_w=s,2018,GB1
9,Bartosz Kapustka,22,Poland,Attacking Midfield,Oud-Heverlee Leuven,Belgium,£2.25m,"End of loanApr 2, 2019",Leicester City,s_w=s,2018,GB1
10,Bartosz Kapustka,21,Poland,Attacking Midfield,SC Freiburg,Germany,£2.70m,"End of loanJun 30, 2018",Leicester City,s_w=s,2018,GB1
11,Nampalys Mendy,26,France,Defensive Midfield,OGC Nice,France,£4.50m,"End of loanJun 30, 2018",Leicester City,s_w=s,2018,GB1
12,Ahmed Musa,25,Nigeria,Left Winger,CSKA Moscow,Russia,£13.50m,"End of loanJun 30, 2018",Leicester City,s_w=s,2018,GB1
0,Yoshinori Muto,26,Japan,Centre-Forward,1.FSV Mainz 05,Germany,£5.40m,£9.63m,Newcastle United,s_w=s,2018,GB1
1,Mikel Merino,22,Spain,Central Midfield,Borussia Dortmund,Germany,£9.00m,£6.30m,Newcastle United,s_w=s,2018,GB1
2,Federico Fernández,29,Argentina,Centre-Back,Swansea City,England,£7.20m,£6.03m,Newcastle United,s_w=s,2018,GB1
3,Martin Dubravka,29,Slovakia,Goalkeeper,AC Sparta Praha,Czech Republic,£3.60m,£3.60m,Newcastle United,s_w=s,2018,GB1
4,Fabian Schär,26,Switzerland,Centre-Back,Deportivo de La Coruña,Spain,£2.70m,£3.60m,Newcastle United,s_w=s,2018,GB1
5,Salomón Rondón,28,Venezuela,Centre-Forward,West Bromwich Albion,England,£11.70m,Loan fee:£1.98m,Newcastle United,s_w=s,2018,GB1
6,Sung-yueng Ki,29,"Korea, South",Defensive Midfield,Swansea City,England,£6.30m,free transfer,Newcastle United,s_w=s,2018,GB1
7,Dwight Gayle,28,England,Centre-Forward,West Bromwich Albion,England,£10.80m,"End of loanMay 31, 2019",Newcastle United,s_w=s,2018,GB1
8,Jacob Murphy,24,England,Right Winger,West Bromwich Albion,England,£6.30m,"End of loanMay 31, 2019",Newcastle United,s_w=s,2018,GB1
9,Dan Barlaser,22,England,Central Midfield,Accrington Stanley,England,-,"End of loanMay 31, 2019",Newcastle United,s_w=s,2018,GB1
10,Achraf Lazaar,27,Morocco,Left-Back,Sheffield Wednesday,England,£900Th.,"End of loanMay 31, 2019",Newcastle United,s_w=s,2018,GB1
11,Rolando Aarons,23,England,Left Winger,Sheffield Wednesday,England,£450Th.,"End of loanMay 31, 2019",Newcastle United,s_w=s,2018,GB1
12,Jack Colback,29,England,Defensive Midfield,Nottingham Forest,England,£2.70m,"End of loanMay 31, 2019",Newcastle United,s_w=s,2018,GB1
13,Matz Sels,26,Belgium,Goalkeeper,RSC Anderlecht,Belgium,£4.05m,"End of loanJun 30, 2018",Newcastle United,s_w=s,2018,GB1
14,Achraf Lazaar,26,Morocco,Left-Back,Benevento Calcio,Italy,£900Th.,"End of loanJun 30, 2018",Newcastle United,s_w=s,2018,GB1
15,Henri Saivet,27,Senegal,Attacking Midfield,Sivasspor,Turkey,£1.80m,"End of loanJun 30, 2018",Newcastle United,s_w=s,2018,GB1
16,Rolando Aarons,22,England,Left Winger,Hellas Verona,Italy,£630Th.,"End of loanJun 30, 2018",Newcastle United,s_w=s,2018,GB1
0,Cheikhou Kouyaté,28,Senegal,Defensive Midfield,West Ham United,England,£10.80m,£9.63m,Crystal Palace,s_w=s,2018,GB1
1,Vicente Guaita,31,Spain,Goalkeeper,Getafe CF,Spain,£4.50m,free transfer,Crystal Palace,s_w=s,2018,GB1
2,Max Meyer,22,Germany,Attacking Midfield,FC Schalke 04,Germany,£16.20m,free transfer,Crystal Palace,s_w=s,2018,GB1
3,Jordan Ayew,26,Ghana,Centre-Forward,Swansea City,England,£7.20m,loan transfer,Crystal Palace,s_w=s,2018,GB1
0,Jefferson Lerma,23,Colombia,Defensive Midfield,Levante UD,Spain,£1.80m,£25.20m,AFC Bournemouth,s_w=s,2018,GB1
1,Diego Rico,25,Spain,Left-Back,CD Leganés,Spain,£2.25m,£13.50m,AFC Bournemouth,s_w=s,2018,GB1
2,David Brooks,20,Wales,Right Winger,Sheffield United,England,£4.50m,£10.17m,AFC Bournemouth,s_w=s,2018,GB1
3,Connor Mahoney,22,England,Right Winger,Birmingham City,England,£225Th.,"End of loanMay 31, 2019",AFC Bournemouth,s_w=s,2018,GB1
4,Harry Arter,29,Ireland,Central Midfield,Cardiff City,England,£6.30m,"End of loanMay 31, 2019",AFC Bournemouth,s_w=s,2018,GB1
5,Aaron Ramsdale,21,England,Goalkeeper,AFC Wimbledon,England,£450Th.,"End of loanMay 31, 2019",AFC Bournemouth,s_w=s,2018,GB1
6,Marc Pugh,32,England,Left Winger,Hull City,England,£1.35m,"End of loanMay 31, 2019",AFC Bournemouth,s_w=s,2018,GB1
7,Tyrone Mings,26,England,Centre-Back,Aston Villa,England,£3.15m,"End of loanMay 31, 2019",AFC Bournemouth,s_w=s,2018,GB1
8,Mark Travers,19,Ireland,Goalkeeper,AFC Bournemouth U21,England,-,-,AFC Bournemouth,s_w=s,2018,GB1
9,Sam Surridge,19,England,Centre-Forward,AFC Bournemouth U21,England,-,-,AFC Bournemouth,s_w=s,2018,GB1
10,Max Gradel,30,Cote d'Ivoire,Left Winger,FC Toulouse,France,£6.30m,"End of loanJun 30, 2018",AFC Bournemouth,s_w=s,2018,GB1
11,Benik Afobe,25,DR Congo,Centre-Forward,Wolverhampton Wanderers,England,£9.00m,"End of loanJun 30, 2018",AFC Bournemouth,s_w=s,2018,GB1
0,Felipe Anderson,25,Brazil,Left Winger,SS Lazio,Italy,£27.00m,£34.20m,West Ham United,s_w=s,2018,GB1
1,Issa Diop,21,France,Centre-Back,FC Toulouse,France,£19.80m,£22.50m,West Ham United,s_w=s,2018,GB1
2,Andriy Yarmolenko,28,Ukraine,Right Winger,Borussia Dortmund,Germany,£20.70m,£18.00m,West Ham United,s_w=s,2018,GB1
3,Lukasz Fabianski,33,Poland,Goalkeeper,Swansea City,England,£4.50m,£7.20m,West Ham United,s_w=s,2018,GB1
4,Lucas Pérez,29,Spain,Centre-Forward,Arsenal FC,England,£6.75m,£3.96m,West Ham United,s_w=s,2018,GB1
5,Fabián Balbuena,26,Paraguay,Centre-Back,Sport Club Corinthians Paulista,Brazil,£4.50m,£3.60m,West Ham United,s_w=s,2018,GB1
6,Xande Silva,21,Portugal,Right Winger,Vitória Guimarães SC,Portugal,£180Th.,£1.35m,West Ham United,s_w=s,2018,GB1
7,Ryan Fredericks,25,England,Right-Back,Fulham FC,England,£3.60m,free transfer,West Ham United,s_w=s,2018,GB1
8,Jack Wilshere,26,England,Central Midfield,Arsenal FC,England,£18.00m,free transfer,West Ham United,s_w=s,2018,GB1
9,Carlos Sánchez,32,Colombia,Defensive Midfield,ACF Fiorentina,Italy,£1.35m,free transfer,West Ham United,s_w=s,2018,GB1
10,Jordan Hugill,26,England,Centre-Forward,Middlesbrough FC,England,£7.20m,"End of loanMay 31, 2019",West Ham United,s_w=s,2018,GB1
11,Sam Byram,25,England,Right-Back,Nottingham Forest,England,£3.60m,"End of loanMay 31, 2019",West Ham United,s_w=s,2018,GB1
12,Josh Cullen,23,Ireland,Central Midfield,Charlton Athletic,England,£900Th.,"End of loanMay 31, 2019",West Ham United,s_w=s,2018,GB1
13,Moses Makasi,23,England,Central Midfield,Stevenage FC,England,-,"End of loanMay 31, 2019",West Ham United,s_w=s,2018,GB1
14,Oladapo Afolayan,21,England,Centre-Forward,Oldham Athletic,England,-,"End of loanMay 31, 2019",West Ham United,s_w=s,2018,GB1
15,Grady Diangana,20,England,Left Winger,West Ham United U23,England,-,-,West Ham United,s_w=s,2018,GB1
16,Reece Oxford,19,England,Defensive Midfield,Borussia Mönchengladbach,Germany,£4.50m,"End of loanJun 30, 2018",West Ham United,s_w=s,2018,GB1
0,Gerard Deulofeu,24,Spain,Left Winger,FC Barcelona,Spain,£12.60m,£11.70m,Watford FC,s_w=s,2018,GB1
1,Adam Masina,24,Italy,Left-Back,Bologna FC 1909,Italy,£6.30m,£4.50m,Watford FC,s_w=s,2018,GB1
2,Ben Foster,35,England,Goalkeeper,West Bromwich Albion,England,£2.70m,£2.52m,Watford FC,s_w=s,2018,GB1
3,Ken Sema,24,Sweden,Left Midfield,Östersunds FK,Sweden,£900Th.,£2.03m,Watford FC,s_w=s,2018,GB1
4,Marc Navarro,22,Spain,Right-Back,RCD Espanyol Barcelona,Spain,£1.80m,£1.80m,Watford FC,s_w=s,2018,GB1
5,Ben Wilmot,18,England,Centre-Back,Stevenage FC,England,-,£1.53m,Watford FC,s_w=s,2018,GB1
6,Domingos Quina,18,Portugal,Central Midfield,West Ham United,England,-,£990Th.,Watford FC,s_w=s,2018,GB1
7,Kwasi Sibo,20,Ghana,Central Midfield,FC Urartu Yerevan,Armenia,£180Th.,free transfer,Watford FC,s_w=s,2018,GB1
8,Daniel Bachmann,24,Austria,Goalkeeper,Kilmarnock FC,Scotland,£270Th.,"End of loanMay 20, 2019",Watford FC,s_w=s,2018,GB1
9,Jerome Sinclair,22,England,Centre-Forward,Oxford United,England,£1.35m,"End of loanMay 31, 2019",Watford FC,s_w=s,2018,GB1
10,Adalberto Peñaranda,21,Venezuela,Centre-Forward,Málaga CF,Spain,£1.80m,"End of loanJun 30, 2018",Watford FC,s_w=s,2018,GB1
11,Pontus Dahlberg,19,Sweden,Goalkeeper,IFK Göteborg,Sweden,£900Th.,"End of loanJun 30, 2018",Watford FC,s_w=s,2018,GB1
12,Isaac Success,22,Nigeria,Left Winger,Málaga CF,Spain,£1.80m,"End of loanJun 30, 2018",Watford FC,s_w=s,2018,GB1
13,Brice Dja Djédjé,27,Cote d'Ivoire,Defensive Midfield,RC Lens,France,£900Th.,"End of loanJun 30, 2018",Watford FC,s_w=s,2018,GB1
14,Mauro Zárate,31,Argentina,Second Striker,Club Atlético Vélez Sarsfield,Argentina,£1.80m,"End of loanJun 30, 2018",Watford FC,s_w=s,2018,GB1
15,Nordin Amrabat,31,Morocco,Right Winger,CD Leganés,Spain,£2.70m,"End of loanJun 30, 2018",Watford FC,s_w=s,2018,GB1
16,Dimitri Foulquier,25,Guadeloupe,Right-Back,RC Strasbourg Alsace,France,£1.80m,"End of loanJun 30, 2018",Watford FC,s_w=s,2018,GB1
17,Obbi Oulare,22,Belgium,Centre-Forward,Royal Antwerp FC,Belgium,£1.35m,"End of loanJun 30, 2018",Watford FC,s_w=s,2018,GB1
18,Luis Suárez,20,Colombia,Centre-Forward,Real Valladolid B,Spain,£270Th.,"End of loanJun 30, 2018",Watford FC,s_w=s,2018,GB1
19,Pervis Estupiñán,20,Ecuador,Left-Back,UD Almería,Spain,£720Th.,"End of loanJun 30, 2018",Watford FC,s_w=s,2018,GB1
20,Jorge Segura,21,Colombia,Centre-Back,Independiente Medellín,Colombia,£180Th.,"End of loanJun 30, 2018",Watford FC,s_w=s,2018,GB1
0,Alireza Jahanbakhsh,24,Iran,Right Winger,AZ Alkmaar,Netherlands,£16.20m,£17.10m,Brighton & Hove Albion,s_w=s,2018,GB1
1,Yves Bissouma,21,Mali,Central Midfield,LOSC Lille,France,£7.20m,£15.21m,Brighton & Hove Albion,s_w=s,2018,GB1
2,Bernardo,23,Brazil,Left-Back,RB Leipzig,Germany,£5.40m,£9.00m,Brighton & Hove Albion,s_w=s,2018,GB1
3,Martín Montoya,27,Spain,Right-Back,Valencia CF,Spain,£7.20m,£6.30m,Brighton & Hove Albion,s_w=s,2018,GB1
4,Florin Andone,25,Romania,Centre-Forward,Deportivo de La Coruña,Spain,£5.40m,£5.40m,Brighton & Hove Albion,s_w=s,2018,GB1
5,David Button,29,England,Goalkeeper,Fulham FC,England,£1.35m,£4.05m,Brighton & Hove Albion,s_w=s,2018,GB1
6,Dan Burn,26,England,Centre-Back,Wigan Athletic,England,£675Th.,£3.20m,Brighton & Hove Albion,s_w=s,2018,GB1
7,Percy Tau,24,South Africa,Attacking Midfield,Mamelodi Sundowns FC,South Africa,£1.80m,£2.88m,Brighton & Hove Albion,s_w=s,2018,GB1
8,Anders Dreyer,20,Denmark,Right Winger,Esbjerg fB,Denmark,£540Th.,£1.98m,Brighton & Hove Albion,s_w=s,2018,GB1
9,Peter Gwargis,17,Sweden,Left Winger,Jönköpings Södra IF,Sweden,£23Th.,£1.35m,Brighton & Hove Albion,s_w=s,2018,GB1
10,Billy Arce,20,Ecuador,Left Winger,Independiente del Valle,Ecuador,£900Th.,£774Th.,Brighton & Hove Albion,s_w=s,2018,GB1
11,Leo Östigard,18,Norway,Centre-Back,Molde FK,Norway,£45Th.,£100Th.,Brighton & Hove Albion,s_w=s,2018,GB1
12,Jason Steele,27,England,Goalkeeper,Sunderland AFC,England,£675Th.,free transfer,Brighton & Hove Albion,s_w=s,2018,GB1
13,Leon Balogun,30,Nigeria,Centre-Back,1.FSV Mainz 05,Germany,£1.80m,free transfer,Brighton & Hove Albion,s_w=s,2018,GB1
14,Anders Dreyer,21,Denmark,Right Winger,St. Mirren FC,Scotland,£540Th.,"End of loanMay 31, 2019",Brighton & Hove Albion,s_w=s,2018,GB1
15,Ben White,20,England,Centre-Back,Brighton & Hove Albion U23,England,-,-,Brighton & Hove Albion,s_w=s,2018,GB1
16,Tomer Hemed,32,Israel,Centre-Forward,Queens Park Rangers,England,£2.25m,"End of loanMay 31, 2019",Brighton & Hove Albion,s_w=s,2018,GB1
17,Richie Towell,27,Ireland,Central Midfield,Rotherham United,England,£180Th.,"End of loanMay 31, 2019",Brighton & Hove Albion,s_w=s,2018,GB1
18,Ben White,21,England,Centre-Back,Peterborough United,England,-,"End of loanMay 31, 2019",Brighton & Hove Albion,s_w=s,2018,GB1
19,Christian Walton,23,England,Goalkeeper,Wigan Athletic,England,£900Th.,"End of loanMay 31, 2019",Brighton & Hove Albion,s_w=s,2018,GB1
20,Mathias Normann,22,Norway,Central Midfield,Molde FK,Norway,£360Th.,"End of loanJun 30, 2018",Brighton & Hove Albion,s_w=s,2018,GB1
21,Soufyan Ahannach,22,Netherlands,Attacking Midfield,Sparta Rotterdam,Netherlands,£450Th.,"End of loanJun 30, 2018",Brighton & Hove Albion,s_w=s,2018,GB1
0,Terence Kongolo,24,Netherlands,Centre-Back,AS Monaco,France,£9.00m,£18.00m,Huddersfield Town,s_w=s,2018,GB1
1,Adama Diakhaby,22,France,Left Winger,AS Monaco,France,£4.50m,£9.00m,Huddersfield Town,s_w=s,2018,GB1
2,Ramadan Sobhi,21,Egypt,Left Winger,Stoke City,England,£6.30m,£5.85m,Huddersfield Town,s_w=s,2018,GB1
3,Florent Hadergjonaj,23,Kosovo,Right-Back,FC Ingolstadt 04,Germany,£4.50m,£4.50m,Huddersfield Town,s_w=s,2018,GB1
4,Jonas Lössl,29,Denmark,Goalkeeper,1.FSV Mainz 05,Germany,£4.50m,£2.25m,Huddersfield Town,s_w=s,2018,GB1
5,Juninho Bacuna,20,Curacao,Central Midfield,FC Groningen,Netherlands,£1.35m,£2.25m,Huddersfield Town,s_w=s,2018,GB1
6,Isaac Mbenza,22,Belgium,Left Winger,Montpellier HSC,France,£3.15m,Loan fee:£2.25m,Huddersfield Town,s_w=s,2018,GB1
7,Ben Hamer,30,England,Goalkeeper,Leicester City,England,£450Th.,free transfer,Huddersfield Town,s_w=s,2018,GB1
8,Erik Durm,26,Germany,Left-Back,Borussia Dortmund,Germany,£900Th.,free transfer,Huddersfield Town,s_w=s,2018,GB1
9,Jack Payne,24,England,Attacking Midfield,Bradford City,England,£315Th.,"End of loanMay 31, 2019",Huddersfield Town,s_w=s,2018,GB1
10,Rajiv van La Parra,27,Netherlands,Left Winger,Middlesbrough FC,England,£3.60m,"End of loanMay 31, 2019",Huddersfield Town,s_w=s,2018,GB1
11,Ryan Schofield,19,England,Goalkeeper,Notts County,England,£90Th.,"End of loanMay 31, 2019",Huddersfield Town,s_w=s,2018,GB1
0,Jannik Vestergaard,25,Denmark,Centre-Back,Borussia Mönchengladbach,Germany,£12.60m,£22.50m,Southampton FC,s_w=s,2018,GB1
1,Mohamed Elyounoussi,23,Norway,Left Winger,FC Basel 1893,Switzerland,£7.65m,£16.20m,Southampton FC,s_w=s,2018,GB1
2,Angus Gunn,22,England,Goalkeeper,Manchester City,England,£1.80m,£10.17m,Southampton FC,s_w=s,2018,GB1
3,Stuart Armstrong,26,Scotland,Central Midfield,Celtic FC,Scotland,£1.80m,£7.16m,Southampton FC,s_w=s,2018,GB1
4,Danny Ings,26,England,Centre-Forward,Liverpool FC,England,£7.20m,loan transfer,Southampton FC,s_w=s,2018,GB1
5,Harrison Reed,24,England,Defensive Midfield,Blackburn Rovers,England,£1.35m,"End of loanMay 31, 2019",Southampton FC,s_w=s,2018,GB1
6,Sam McQueen,24,England,Left-Back,Middlesbrough FC,England,£900Th.,"End of loanMay 31, 2019",Southampton FC,s_w=s,2018,GB1
7,Steven Davis,34,Northern Ireland,Central Midfield,Rangers FC,Scotland,£2.70m,"End of loanMay 20, 2019",Southampton FC,s_w=s,2018,GB1
8,Jake Hesketh,23,England,Attacking Midfield,Milton Keynes Dons,England,-,"End of loanMay 31, 2019",Southampton FC,s_w=s,2018,GB1
9,Jordy Clasie,27,Netherlands,Defensive Midfield,Club Brugge KV,Belgium,£5.85m,"End of loanJun 30, 2018",Southampton FC,s_w=s,2018,GB1
10,Florin Gardos,29,Romania,Centre-Back,Universitatea Craiova,Romania,£1.17m,"End of loanJun 30, 2018",Southampton FC,s_w=s,2018,GB1
0,Adama Traoré,22,Spain,Right Winger,Middlesbrough FC,England,£7.20m,£18.00m,Wolverhampton Wanderers,s_w=s,2018,GB1
1,Rui Patrício,30,Portugal,Goalkeeper,Sporting CP,Portugal,£14.40m,£16.20m,Wolverhampton Wanderers,s_w=s,2018,GB1
2,Diogo Jota,21,Portugal,Left Winger,Atlético Madrid,Spain,£10.80m,£12.60m,Wolverhampton Wanderers,s_w=s,2018,GB1
3,Willy Boly,27,Cote d'Ivoire,Centre-Back,FC Porto,Portugal,£4.50m,£10.80m,Wolverhampton Wanderers,s_w=s,2018,GB1
4,Benik Afobe,25,DR Congo,Centre-Forward,AFC Bournemouth,England,£9.00m,£10.26m,Wolverhampton Wanderers,s_w=s,2018,GB1
5,João Moutinho,31,Portugal,Central Midfield,AS Monaco,France,£9.00m,£5.04m,Wolverhampton Wanderers,s_w=s,2018,GB1
6,Léo Bonatini,24,Brazil,Centre-Forward,Al-Hilal Riyadh,Saudi Arabia,£4.50m,£3.60m,Wolverhampton Wanderers,s_w=s,2018,GB1
7,Raúl Jiménez,27,Mexico,Centre-Forward,SL Benfica,Portugal,£13.50m,Loan fee:£2.70m,Wolverhampton Wanderers,s_w=s,2018,GB1
8,Rúben Vinagre,19,Portugal,Left-Back,AS Monaco,France,£450Th.,£2.03m,Wolverhampton Wanderers,s_w=s,2018,GB1
9,Leander Dendoncker,23,Belgium,Defensive Midfield,RSC Anderlecht,Belgium,£15.30m,Loan fee:£1.35m,Wolverhampton Wanderers,s_w=s,2018,GB1
10,Max Kilman,21,England,Centre-Back,Maidenhead United,England,-,?,Wolverhampton Wanderers,s_w=s,2018,GB1
11,Jonny Otto,24,Spain,Left-Back,Atlético Madrid,Spain,£10.80m,loan transfer,Wolverhampton Wanderers,s_w=s,2018,GB1
12,Joe Mason,27,Ireland,Centre-Forward,Colorado Rapids,United States,£1.35m,"End of loanJul 13, 2018",Wolverhampton Wanderers,s_w=s,2018,GB1
13,Léo Bonatini,25,Brazil,Centre-Forward,Nottingham Forest,England,£4.50m,"End of loanMay 31, 2019",Wolverhampton Wanderers,s_w=s,2018,GB1
14,Harry Burgoyne,22,England,Goalkeeper,Falkirk FC,Scotland,-,"End of loanMay 5, 2019",Wolverhampton Wanderers,s_w=s,2018,GB1
15,Ethan Ebanks-Landell,26,England,Centre-Back,Rochdale AFC,England,£225Th.,"End of loanMay 31, 2019",Wolverhampton Wanderers,s_w=s,2018,GB1
16,Bright Enobakhare,21,Nigeria,Centre-Forward,Coventry City,England,£450Th.,"End of loanMay 31, 2019",Wolverhampton Wanderers,s_w=s,2018,GB1
17,Kortney Hause,23,England,Centre-Back,Aston Villa,England,£900Th.,"End of loanJun 30, 2019",Wolverhampton Wanderers,s_w=s,2018,GB1
18,Jordan Graham,24,England,Left Winger,Oxford United,England,£450Th.,"End of loanMay 31, 2019",Wolverhampton Wanderers,s_w=s,2018,GB1
19,Paul Gladon,26,Netherlands,Centre-Forward,Heracles Almelo,Netherlands,£630Th.,"End of loanJun 30, 2018",Wolverhampton Wanderers,s_w=s,2018,GB1
20,Prince Oniangué,29,Congo,Defensive Midfield,SCO Angers,France,£1.35m,"End of loanJun 30, 2018",Wolverhampton Wanderers,s_w=s,2018,GB1
21,Duckens Nazon,24,Haiti,Centre-Forward,Oldham Athletic,England,£315Th.,"End of loanJun 30, 2018",Wolverhampton Wanderers,s_w=s,2018,GB1
0,Josh Murphy,23,England,Left Winger,Norwich City,England,£1.35m,£10.26m,Cardiff City,s_w=s,2018,GB1
1,Bobby Reid,25,Jamaica,Second Striker,Bristol City,England,£2.70m,£10.22m,Cardiff City,s_w=s,2018,GB1
2,Alex Smithies,28,England,Goalkeeper,Queens Park Rangers,England,£2.70m,£3.60m,Cardiff City,s_w=s,2018,GB1
3,Greg Cunningham,27,Ireland,Left-Back,Preston North End,England,£1.35m,£3.60m,Cardiff City,s_w=s,2018,GB1
4,Víctor Camarasa,24,Spain,Central Midfield,Real Betis Balompié,Spain,£5.40m,loan transfer,Cardiff City,s_w=s,2018,GB1
5,Harry Arter,28,Ireland,Central Midfield,AFC Bournemouth,England,£6.30m,loan transfer,Cardiff City,s_w=s,2018,GB1
6,Jack McKay,22,Scotland,Centre-Forward,Chesterfield FC,England,-,"End of loanJun 30, 2019",Cardiff City,s_w=s,2018,GB1
7,Omar Bogle,26,England,Centre-Forward,Portsmouth FC,England,£450Th.,"End of loanMay 31, 2019",Cardiff City,s_w=s,2018,GB1
8,Ciaron Brown,21,Northern Ireland,Centre-Back,Livingston FC,Scotland,-,"End of loanMay 31, 2019",Cardiff City,s_w=s,2018,GB1
9,Lee Tomlin,30,England,Second Striker,Peterborough United,England,£2.25m,"End of loanMay 31, 2019",Cardiff City,s_w=s,2018,GB1
10,Gary Madine,28,England,Centre-Forward,Sheffield United,England,£3.60m,"End of loanMay 31, 2019",Cardiff City,s_w=s,2018,GB1
11,Paul McKay,22,Scotland,Defensive Midfield,Morecambe FC,England,-,"End of loanMay 31, 2019",Cardiff City,s_w=s,2018,GB1
0,Jean Michaël Seri,26,Cote d'Ivoire,Central Midfield,OGC Nice,France,£27.00m,£27.00m,Fulham FC,s_w=s,2018,GB1
1,André Zambo Anguissa,22,Cameroon,Defensive Midfield,Olympique Marseille,France,£16.20m,£22.37m,Fulham FC,s_w=s,2018,GB1
2,Aleksandar Mitrovic,23,Serbia,Centre-Forward,Newcastle United,England,£13.50m,£22.23m,Fulham FC,s_w=s,2018,GB1
3,Alfie Mawson,24,England,Centre-Back,Swansea City,England,£13.50m,£15.17m,Fulham FC,s_w=s,2018,GB1
4,Joe Bryan,24,England,Left-Back,Bristol City,England,£4.50m,£6.03m,Fulham FC,s_w=s,2018,GB1
5,Fabri,30,Spain,Goalkeeper,Besiktas JK,Turkey,£3.60m,£5.40m,Fulham FC,s_w=s,2018,GB1
6,Maxime Le Marchand,28,France,Centre-Back,OGC Nice,France,£3.60m,£3.60m,Fulham FC,s_w=s,2018,GB1
7,André Schürrle,27,Germany,Left Winger,Borussia Dortmund,Germany,£13.50m,Loan fee:£360Th.,Fulham FC,s_w=s,2018,GB1
8,Calum Chambers,23,England,Centre-Back,Arsenal FC,England,£12.60m,loan transfer,Fulham FC,s_w=s,2018,GB1
9,Sergio Rico,24,Spain,Goalkeeper,Sevilla FC,Spain,£10.80m,loan transfer,Fulham FC,s_w=s,2018,GB1
10,Luciano Vietto,24,Argentina,Centre-Forward,Atlético Madrid,Spain,£5.40m,loan transfer,Fulham FC,s_w=s,2018,GB1
11,Timothy Fosu-Mensah,20,Netherlands,Right-Back,Manchester United,England,£6.30m,loan transfer,Fulham FC,s_w=s,2018,GB1
12,Stefan Johansen,28,Norway,Central Midfield,West Bromwich Albion,England,£3.60m,"End of loanMay 31, 2019",Fulham FC,s_w=s,2018,GB1
0,Patrick Roberts,22,England,Right Winger,Norwich City,England,£3.15m,"End of loanJan 1, 2020",Manchester City,s_w=w,2019,GB1
0,Takumi Minamino,24,Japan,Left Winger,Red Bull Salzburg,Austria,£11.25m,£7.65m,Liverpool FC,s_w=w,2019,GB1
1,Neco Williams,18,Wales,Right-Back,Liverpool FC U23,England,-,-,Liverpool FC,s_w=w,2019,GB1
2,Nathaniel Phillips,22,England,Centre-Back,VfB Stuttgart,Germany,£720Th.,"End of loanDec 31, 2019",Liverpool FC,s_w=w,2019,GB1
0,Victor Moses,29,Nigeria,Right Midfield,Fenerbahce SK,Turkey,£7.65m,"End of loanJan 22, 2020",Chelsea FC,s_w=w,2019,GB1
1,Lewis Baker,24,England,Central Midfield,Fortuna Düsseldorf,Germany,£3.15m,"End of loanJan 22, 2020",Chelsea FC,s_w=w,2019,GB1
2,Danny Drinkwater,29,England,Central Midfield,Burnley FC,England,£5.40m,"End of loanJan 6, 2020",Chelsea FC,s_w=w,2019,GB1
3,Danilo Pantic,23,Serbia,Attacking Midfield,MOL Fehérvár FC,Hungary,£1.62m,"End of loanJan 31, 2020",Chelsea FC,s_w=w,2019,GB1
4,Jamal Blackman,26,England,Goalkeeper,Vitesse Arnhem,Netherlands,£450Th.,"End of loanJan 16, 2020",Chelsea FC,s_w=w,2019,GB1
5,Billy Gilmour,18,Scotland,Central Midfield,Chelsea FC U23,England,£2.70m,-,Chelsea FC,s_w=w,2019,GB1
0,Steven Bergwijn,22,Netherlands,Left Winger,PSV Eindhoven,Netherlands,£31.50m,£27.00m,Tottenham Hotspur,s_w=w,2019,GB1
